id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_Organization_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,analysis_date,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
130262,165929,2015,2015-06-08T11:58:00Z,2015-05-20T00:00:00Z,2015-05-20T00:00:00Z,Medical relief supplies to earthquake for underserved health facilities in Nepal (AA-S05 321.50 NPL 05/15),2015-06-05T09:01:35Z,Standard,t,EUR,Traditional aid,,paid,2015-07-15,1,incoming,single,4306,37,"Germany, Government of",2015,"",2186,7,156,NPL,,37,"",action medeor e.V.,Health,Nepal,"",2015,Primary,action medeor e.V.,From EDRIS,2015-06-05T09:01:35.000Z,150000,83,DEU,Germany,629,NEPAL - Earthquake - April 2015,"AA-S05 321.50 NPL 05/15, [EDRIS:71583]","","",0.904,"","","","","",,"","","","","",2015-05-20,Incoming,,FALSE,FALSE
130424,900000,2015,2015-06-11T16:54:00Z,2015-05-04T00:00:00Z,2015-05-04T00:00:00Z,Safe Emergency Debris Removal and Management to prepare for shelter and recovery of earthquake affected communities in Nepal,2015-06-11T16:54:00Z,Standard,f,USD,Traditional aid,130429,paid,2015-06-17,1,internal,single,5294,37,United Nations Development Programme,2015,486,5294,2,156,NPL,41766,37,Nepal Earthquake Flash Appeal 2015,United Nations Development Programme,Early Recovery,Nepal,Safe Emergency Debris Removal and Management to prepare for shelter and recovery of earthquake affected communities in Nepal,2015,Primary,United Nations Development Programme,Other,2015-06-11T16:54:00.000Z,,"","","",629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"",1993,EARLY RECOVERY,"","",2015-05-04,Incoming,Incoming,FALSE,FALSE
130491,2700,2015,2015-06-15T11:54:00Z,2015-06-17T00:00:00Z,2015-06-17T00:00:00Z,Coordination response  (OCT 4910),2015-06-13T06:00:50Z,Standard,t,USD,Traditional aid,,paid,2015-06-23,1,incoming,single,4543,37,Private (individuals & organizations),2015,486,4396,26480,156,NPL,41784,37,Nepal Earthquake Flash Appeal 2015,Office for the Coordination of Humanitarian Affairs,Coordination and support services,Nepal,Coordination response,2015,Primary,Office for the Coordination of Humanitarian Affairs,From OCT,2015-06-13T06:00:50.000Z,,"","","",629,NEPAL - Earthquake - April 2015,[OCT 4910],"","",,"","","","","",,"",1991,COORDINATION,"","",2015-06-17,Incoming,Incoming,FALSE,FALSE
130381,59913,2015,2015-06-11T11:27:00Z,2015-06-10T00:00:00Z,2015-06-10T00:00:00Z,Emergency relief - shelter and NFIs (AH/CAR/2015/0004),2015-06-11T09:00:35Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-11,1,incoming,single,4384,37,"Luxembourg, Government of",2015,"",8484,4,156,NPL,,37,"",CARITAS,Emergency Shelter and NFI,Nepal,"",2015,Primary,"Luxembourg, Government of",From EDRIS,2015-06-11T09:00:35.000Z,55000,130,LUX,Luxembourg,629,NEPAL - Earthquake - April 2015,"AH/CAR/2015/0004, [EDRIS:71661]","","",0.918,"","","","","",,"","","","","",2015-06-10,Incoming,,FALSE,FALSE
130425,997252,2015,2015-06-11T16:55:00Z,2015-06-03T00:00:00Z,2015-06-03T00:00:00Z,Rehabilitation of community based infrastructure and emergency employment for immediate livelihoods support,2015-06-11T16:55:00Z,Standard,t,USD,Traditional aid,,commitment,2015-06-17,1,incoming,single,4855,37,"Mauritius, Government of",2015,486,5294,2,156,NPL,41758,37,Nepal Earthquake Flash Appeal 2015,United Nations Development Programme,Early Recovery,Nepal,Rehabilitation of community based infrastructure and emergency employment for immediate livelihoods support,2015,Primary,United Nations Development Programme,Other,2015-06-11T16:55:00.000Z,,142,MUS,Mauritius,629,NEPAL - Earthquake - April 2015,NPL-15/ER/80454/R/17142,"","",,"","","","","",,"",1993,EARLY RECOVERY,"","",2015-06-03,Incoming,Incoming,FALSE,FALSE
130511,975081,2015,2015-06-16T09:42:00Z,2015-04-25T00:00:00Z,2015-04-25T00:00:00Z,Venir au secours des victimes,2015-06-16T09:01:26Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-16,1,incoming,single,4314,37,"France, Government of",2015,"",4861,4,156,NPL,,37,"","Nepal, Government of",Emergency Shelter and NFI,Nepal,"",2015,Primary,"France, Government of",From EDRIS,2015-06-16T09:01:26.000Z,900000,76,FRA,France,629,NEPAL - Earthquake - April 2015,[EDRIS:71683],"","",0.923,"","","","","",,"","","","","",2015-04-25,Incoming,,FALSE,FALSE
130459,299853,2015,2015-06-12T14:31:00Z,2015-06-05T00:00:00Z,2015-06-05T00:00:00Z,"Emergency assistance to the population affected by the earthquake - Shelter and non-food items, Food (AA-S05 321.50 NPL 06/15)",2015-06-12T09:00:51Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-12,1,incoming,single,4306,37,"Germany, Government of",2015,"",173,"",156,NPL,,37,"",Malteser International Order of Malta World Relief,"",Nepal,"",2015,Primary,"Germany, Government of",From EDRIS,2015-06-12T09:00:51.000Z,275265,83,DEU,Germany,629,NEPAL - Earthquake - April 2015,"AA-S05 321.50 NPL 06/15, [EDRIS:71664]","","",0.918,"","","","","",,"","","","","",2015-06-05,Incoming,,FALSE,FALSE
130493,544662,2015,2015-06-15T12:24:00Z,2015-06-11T00:00:00Z,2015-06-11T00:00:00Z,"The aim of the project is to improve the conditions for basic medical care in selected districts. To this end, the projects in 14 districts supported the health authorities to control and coordinate actions and the preparation of reconstruction based on detailed situation analysis. (2015.1827.3)",2015-06-13T09:00:53Z,Standard,t,EUR,Traditional aid,,commitment,2015-06-15,1,incoming,single,4306,37,"Germany, Government of",2015,"",2987,7,156,NPL,,37,"",Deutsche Gesellschaft für Internationale Zusammenarbeit,Health,Nepal,"",2015,Primary,"Germany, Government of",From EDRIS,2015-06-13T09:00:53.000Z,500000,83,DEU,Germany,629,NEPAL - Earthquake - April 2015,"2015.1827.3, [EDRIS:71671]","","",0.918,"","","","","",,"","","","","",2015-06-11,Incoming,,FALSE,FALSE
130647,500000,2015,2015-06-17T10:08:00Z,2015-06-17T00:00:00Z,2015-06-17T00:00:00Z,Rehabilitation of community based infrastructure and emergency employment for immediate livelihoods support,2015-06-17T10:08:00Z,Standard,f,USD,Traditional aid,130652,paid,2015-06-17,1,internal,single,5294,37,United Nations Development Programme,2015,486,5294,2,156,NPL,41758,37,Nepal Earthquake Flash Appeal 2015,United Nations Development Programme,Early Recovery,Nepal,Rehabilitation of community based infrastructure and emergency employment for immediate livelihoods support,2015,Primary,United Nations Development Programme,Other,2015-06-17T10:08:00.000Z,,"","","",629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"",1993,EARLY RECOVERY,"","",2015-06-17,Incoming,Incoming,FALSE,FALSE
130648,10000,2015,2015-06-17T10:12:00Z,2015-06-17T00:00:00Z,2015-06-17T00:00:00Z,Safe Emergency Debris Removal and Management to prepare for shelter and recovery of earthquake affected communities in Nepal (from UNDP Goodwill Ambassador),2015-06-17T10:12:00Z,Standard,t,USD,Traditional aid,,paid,2015-06-17,1,incoming,single,"",37,"",2015,486,5294,2,156,NPL,41766,37,Nepal Earthquake Flash Appeal 2015,United Nations Development Programme,Early Recovery,Nepal,Safe Emergency Debris Removal and Management to prepare for shelter and recovery of earthquake affected communities in Nepal,2015,Primary,United Nations Development Programme,Other,2015-06-17T10:12:00.000Z,,"","","",629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"",1993,EARLY RECOVERY,"","",2015-06-17,Incoming,Incoming,FALSE,FALSE
